# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jun 09 01:03:03 CEST 2020 [seed=1581068955431]
# -beagle_cpu -seed 1581068955431 HBV-A_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0
10000	0.23885586091865046	0.026589700707939957	0.7197154499920558	1.2478786667093864	1.520230976070361	1.348477703652077	1.1075947014198053	1.2495113388435222	0.7406323239281263	0.3864334568780912	0.3164570510865097	2.0945678891111137	0.4299270278206093	0.13017204703093233	0.40753165065886837	1.477799279889115	2.4143158064052312	1.1835162697191794	0.34666438471805117	2.6826607222371734	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
20000	3.306271541723909	1.264079857690163	0.7208925915755715	0.2220769702216262	0.38858764491832215	1.5892740680015713	2.47907848347671	1.0715780158256407	0.41062328565595607	0.2999752780012918	0.42528720704977974	0.6349123709119164	0.4569302542924086	0.2546323351814631	1.449457037177926	1.670171344742543	0.3605592698670394	2.1556913209551203	0.018670897869846315	0.6054960157825516	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	8.0
30000	0.3467661756418835	0.3571257563538279	1.3855689893832248	0.03004533457085139	2.2638554958360135	1.2498321186087693	0.31380165771006663	1.8029153837114513	0.2861165505483261	0.16789785358825632	0.0104659151774483	0.5067015982550543	0.552198319210959	2.0090335731610427	2.9411897873663353	3.111024692220526	1.0040055324464319	3.133618765890953	0.5960942155045573	0.545819945295309	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
40000	0.3584846366709587	0.7819450952757528	1.1456996766530472	2.1418161934189057	0.6575057015785142	1.7687722014553169	2.1651749567847003	1.5085153881634132	0.32633840586657215	0.31840218575160417	2.916658372216531	0.030708902725336096	0.623231423696096	0.7534538820247543	0.5187923658330169	1.7561637634699463	0.4109912909448143	3.3732866131279238	1.4783138987186628	0.10744076605167431	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	10.0
50000	0.27376452627674713	0.2700216265717212	1.0945344769572627	0.007254637174379044	0.34717860756837177	2.193684771805196	0.5289914060992056	0.3777401748088271	1.2632428211242934	0.24441595033326471	0.30614021022936766	0.04679638582565269	0.6884229901964867	0.6158813683696478	1.5555339959846457	2.202981839840865	0.5653747690986685	1.8674209727899644	0.35114161154060464	3.352554515856805	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
60000	0.5748445075621271	2.4852923435444545	1.2123295951124449	0.26808312369047277	2.829482613754659	1.7767585748191157	1.1287723678183104	0.061215547660660175	1.7506324341177628	0.694551430186973	3.7385072743567043	0.7475876546885856	0.3935123630365723	0.09180217143520139	1.4568225800086052	1.9603092858814914	0.8143255589795556	3.3929332242678716	0.5485652623984053	1.2493055558927144	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0
70000	0.3335850104134733	1.4545226418866344	0.7717011949302178	1.1358132315222274	0.5867431030324097	0.8321828289146954	0.44199314510284676	0.9033310037221572	2.1335461332412464	0.3283496715700526	0.3812785355063396	0.6831091829387907	0.714315682719766	0.21385099358187626	0.34880846558386674	1.0654672673082488	0.08845517465354927	0.9334192697214946	0.3339559922112281	0.44881553522915674	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0
80000	0.9612670784639666	3.5550837562241546	3.594326053940816	1.185496183431639	3.347793867883959	0.6819388337030561	0.9316105351745047	0.00994562713808982	0.9113543299372959	0.6998389104002178	0.17815331018337024	1.5066068090747593	0.7270534480761591	0.9259473234945115	2.725616192117955	2.6407956352281157	1.9675246502339552	4.230693739823807	1.6769600559919549	0.3719430201525981	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
90000	0.15209556903480043	3.9383931394787655	0.6246331644339866	1.8608908849277546	1.6179750358276537	0.7548045713904215	0.40097822001281763	1.883949036601567	3.8950649204349386	0.20893625640266522	1.7606575057422047	0.05718881018155756	0.423839936648735	0.40359271060504304	2.182590093556089	2.5631636742904718	1.2202823253077915	1.7501581824579175	2.9334340875612503	1.7899527384567915	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	8.0
100000	0.4028396780062683	0.43253951139620034	1.3873402233619365	2.227246385287074	1.1276282191948752	1.2442158119728943	0.19556067895026535	1.2897497090430396	2.4072646986533224	0.6123750665279556	0.3578251198199981	0.9306211206743626	0.53786135344377	0.20644681531029213	1.292207835112313	3.2800119366738576	5.370775910511833	2.3339202656513716	0.2942210337738704	2.6904422345306576	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0
110000	0.4915662056512301	1.2266760100445626	0.6499946683709612	1.4109623676094654	0.5796684693787256	0.9851514971310924	0.4656778476980451	1.8090369850457904	0.14490345252308778	0.14506792798020812	1.7037581804725848	0.611233835825628	0.47577319513579314	0.5557988853757931	1.6130440403073734	0.6701660143744924	0.9659624226060097	1.4482415477010486	4.6374051159641745	0.05331472409093611	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0
120000	1.318709513672158	1.385319246040065	0.9171912854164569	0.7888925457418916	0.8013661294998471	1.0872743079452465	0.44907311834037933	1.6797844634795454	0.08073996060188711	0.03754948247508289	0.11720767795482401	0.3462681086164288	0.6106348780866898	2.2953626198011103	1.6056064915536394	1.6196512223406663	2.599079350222002	1.8300882612696423	2.9519936529296507	0.3848538316837623	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	8.0
130000	0.5654601969453562	0.22234008014493392	0.43858100297230873	0.03849433521691818	0.6906757885709508	0.8122242109447372	0.6234365329073868	0.356068062419691	0.0937469346046434	0.19980680624787836	0.30824581504861936	0.4455662065532073	0.6819224205079001	0.2699940514386538	0.5746580707057176	1.2311253856642201	0.704005626223454	1.5334106492427244	3.3266743524416373	0.5120671026826629	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	11.0
140000	0.5931988197117518	0.6978762096917035	0.9496724301168532	5.06478314509655	1.1995445045798123	1.447263849810831	0.2427051518460244	1.9480820355715642	1.5954761006927747	1.181346779362409	1.9505991516485444	1.381947220972599	0.6234082466046773	0.5730711002290853	0.6836621351330353	4.360409766130238	0.37291077618190116	2.931686644767732	0.06558178369054898	0.4454781482207067	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
150000	0.16829413760634898	1.9313318853469366	0.9289544442923539	2.0708357500883343	1.8174882724082584	1.401780095426884	0.7170893114003227	0.2045183108931752	0.5363143095649581	2.1721649147542785	1.8880089807836935	1.1981488788286394	0.5353137725186724	2.8737582537897186	1.240642151057333	2.1659232544643072	0.41428926225658813	1.5088920798539815	0.0888183877089268	1.8838666711494791	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	9.0
160000	0.12979985480274694	1.9332890786627146	0.6341095568975105	2.03236662267023	0.2168628574955594	0.5064951976581394	1.4854882002127643	1.6184088771606722	3.1700343484949984	0.469945468654535	0.42454301300329006	0.3667667221487697	1.1831038818115684	0.4784123212884391	0.10534261776422116	1.1434237964885634	0.6801868467351068	1.1976398110733975	0.7156082411356302	0.12247472344321775	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	11.0
170000	0.33385500417026925	0.33980214472913417	0.7848799451314404	1.6948677957031277	1.5422934955045793	1.3426677228217594	0.9861870797294914	2.469789880224691	1.403101081358942	0.12168537212314368	0.6480691124559832	0.28869403266468185	1.0614586495290765	2.8308788612121973	0.7608997138538484	1.8541309643205013	2.0406339673994207	1.8370466750187435	0.06699464426124588	0.6748803813511252	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0
180000	0.3349490410985868	0.13486125018960005	1.6155046664966508	1.8690674429315668	0.9871211153932328	1.171108292030849	0.6092466026701514	0.9844202150859956	0.8258907610084377	0.43034245365920426	3.1740914729760408	1.526836435712609	0.8936562982413244	0.8213665068305178	1.0214846218910865	3.2756967009078837	0.4394602689295807	3.0043233120828092	0.18279491970004716	0.2960872484004988	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	11.0
190000	0.9087826123904139	0.7572387318260118	1.5217746192557358	0.5923634987074671	0.9304071737593336	0.7674390902633846	1.225811077527111	0.6313231965947563	1.7987092911548126	0.5602150032965244	0.45099468467637344	0.08498591865366131	0.4894527662285715	0.1975943534804486	2.5437771079186122	1.56063111428224	0.7225897113315825	2.9907460800416814	0.16485177559677733	1.0914655960487225	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
